id,authors_0_author,authors_1_author,authors_2_author,authors_3_author,count,docna_0_docna,docty,lang,entityids_entityid,subtopic,docdt,keywd_0_keywd,majdocty,abstracts_cdata!,display_title,pdfurl,listing_relative_url,url_friendly_title,guid,url,document_id,pdf_page_numbers,new_url,authors_4_author,authors_5_author,authors_6_author,authors_7_author,authors_8_author,authors_9_author,authors_10_author,authors_11_author,authors_12_author,authors_13_author,authors_14_author,authors_15_author,isbn,subsc,theme,majtheme,geo_regions_0_geo_region,geo_regions_1_geo_region,geo_regions_2_geo_region,colti,keywd_1_keywd,geo_regions_3_geo_region,geo_regions_4_geo_region,ml_abstracts,geo_regions_5_geo_region,geo_regions_6_geo_region
32707023,Win Hlaing,,,,Myanmar,Myanmar - EAST ASIA AND PACIFIC- P146482- Ayeyarwady Integrated River Basin Management Project - Procurement Plan,Procurement Plan,English,090224b088131eee_1_0,"Hydrology,Water and Food Supply,Financial Sector Policy,River Basin Management",2020-12-23T00:00:00Z,capacity building component; water; selection system; meteorological observation; decision support system; building system; Water Resource Management; international water resource; water level recording; environmental resource management; individual resource; national resource; aids to navigation,"Project Documents,Project Documents",,Myanmar - EAST ASIA AND PACIFIC- P146482- Ayeyarwady Integrated River Basin Management Project - Procurement Plan,http://documents.worldbank.org/curated/en/923921608718712507/pdf/Myanmar-EAST-ASIA-AND-PACIFIC-P146482-Ayeyarwady-Integrated-River-Basin-Management-Project-Procurement-Plan.pdf,/projects/documents/2020/12/32707023/myanmar-east-asia-pacific--p146482--ayeyarwady-integrated-river-basin-management-project-procurement-plan,http://documents.worldbank.org/curated/en/923921608718712507/Myanmar-EAST-ASIA-AND-PACIFIC-P146482-Ayeyarwady-Integrated-River-Basin-Management-Project-Procurement-Plan,923921608718712507,http://documents.worldbank.org/curated/en/923921608718712507/Myanmar-EAST-ASIA-AND-PACIFIC-P146482-Ayeyarwady-Integrated-River-Basin-Management-Project-Procurement-Plan,D32707023,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
33353715,"Hounkpe,Koffi",,,,Burkina Faso,Disclosable Version of the ISR - Strengthening Climate Resilience in Burkina Faso - P164078 - Sequence No : 07,Implementation Status and Results Report,English,090224b0888d9bba_1_0,"Climate Change Impacts,Financial Sector Policy,Natural Disasters,Nutrition,Food Security",2021-08-19T00:00:00Z,climate resilience; early warning; flood early warning; enhanced food security; Investment Project Financing; weather forecast; mean temperature; direct beneficiaries; data sharing; advanced training; long-term training; operation risk; meteorological observation; risk category; emergency response; Hydromet; measurement system,"Project Documents,Project Documents",,Disclosable Version of the ISR - Strengthening Climate Resilience in Burkina Faso - P164078 - Sequence No : 07,http://documents.worldbank.org/curated/en/202301629380921264/pdf/Disclosable-Version-of-the-ISR-Strengthening-Climate-Resilience-in-Burkina-Faso-P164078-Sequence-No-07.pdf,/projects/documents/2021/08/33353715/disclosable-version-isr-strengthening-climate-resilience-burkina-faso-p164078-sequence-no-07,http://documents.worldbank.org/curated/en/202301629380921264/Disclosable-Version-of-the-ISR-Strengthening-Climate-Resilience-in-Burkina-Faso-P164078-Sequence-No-07,202301629380921264,http://documents.worldbank.org/curated/en/202301629380921264/Disclosable-Version-of-the-ISR-Strengthening-Climate-Resilience-in-Burkina-Faso-P164078-Sequence-No-07,D33353715,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
31884002,"Tehsin,Ahsan",,,,Pakistan,Disclosable Version of the ISR - Pakistan Hydromet and Climate Services Project (PHCSP) - P163924 - Sequence No : 04,Implementation Status and Results Report,English,090224b08773215d_1_0,"Climate Change Impacts,Health Care Services Industry,Hazard Risk Management,Disaster Management,Social Risk Management,Natural Disasters,Gender and Development",2020-03-20T00:00:00Z,national disaster management; number of beneficiaries; disaster risk management; Investment Project Financing; weather forecast; information exchange; risk category; operation risk; meteorological observation; health shock; gender mainstreaming; emergency response; vulnerability risk,"Project Documents,Project Documents",,Disclosable Version of the ISR - Pakistan Hydromet and Climate Services Project (PHCSP) - P163924 - Sequence No : 04,http://documents.worldbank.org/curated/en/247911584698478662/pdf/Disclosable-Version-of-the-ISR-Pakistan-Hydromet-and-Climate-Services-Project-PHCSP-P163924-Sequence-No-04.pdf,/projects/documents/2020/03/31884002/disclosable-version-isr-pakistan-hydromet-climate-services-project-phcsp-p163924-sequence-no-04,http://documents.worldbank.org/curated/en/247911584698478662/Disclosable-Version-of-the-ISR-Pakistan-Hydromet-and-Climate-Services-Project-PHCSP-P163924-Sequence-No-04,247911584698478662,http://documents.worldbank.org/curated/en/247911584698478662/Disclosable-Version-of-the-ISR-Pakistan-Hydromet-and-Climate-Services-Project-PHCSP-P163924-Sequence-No-04,D31884002,5,2020/03/31884002/,,,,,,,,,,,,,,,,,,,,,,,,,,
31572121,"Tehsin,Ahsan",,,,Pakistan,Disclosable Version of the ISR - Pakistan Hydromet and DRM Services Project (PHDSP) - P163924 - Sequence No : 03,Implementation Status and Results Report,English,090224b087333b86_1_0,"Natural Disasters,Social Risk Management,Disaster Management,Hazard Risk Management,Climate Change Impacts,Gender and Development",2019-11-20T00:00:00Z,national disaster management; disaster risk management; number of beneficiaries; Investment Project Financing; risk category; climate resilience; operation risk; weather forecast; information exchange; meteorological observation; gender mainstreaming; vulnerability risk; emergency response,"Project Documents,Project Documents",,Disclosable Version of the ISR - Pakistan Hydromet and DRM Services Project (PHDSP) - P163924 - Sequence No : 03,http://documents.worldbank.org/curated/en/318291574286501272/pdf/Disclosable-Version-of-the-ISR-Pakistan-Hydromet-and-DRM-Services-Project-PHDSP-P163924-Sequence-No-03.pdf,/projects/documents/2019/11/31572121/disclosable-version-isr-pakistan-hydromet-drm-services-project-phdsp-p163924-sequence-no-03,http://documents.worldbank.org/curated/en/318291574286501272/Disclosable-Version-of-the-ISR-Pakistan-Hydromet-and-DRM-Services-Project-PHDSP-P163924-Sequence-No-03,318291574286501272,http://documents.worldbank.org/curated/en/318291574286501272/Disclosable-Version-of-the-ISR-Pakistan-Hydromet-and-DRM-Services-Project-PHDSP-P163924-Sequence-No-03,D31572121,5,2019/11/31572121/,,,,,,,,,,,,,,,,,,,,,,,,,,
12757745,,,,,Central Asia,Central Asia - Hydrometeorology Modernization Project,Project Information Document,English,000262044_20100914095352,"Adaptation to Climate Change,Information Technology,Hazard Risk Management,Water and Food Supply,Social Risk Management,Global Environment,Natural Disasters,Disaster Management",2010-09-10T00:00:00Z,hydromet services;Institutional Strengthening and Capacity Building;consequences of climate variability;gross national income;meteorological events;Water Management;observation network;Safeguard Policies;financial sustainability;safeguard policy;hydrometeorological service;gross domestic product;service delivery system;early warning system;regional cooperation;long term outcomes;delivery of service;environmental safeguard;operations manual;environmental condition;mitigation measure;low-risk activities;modernization program;information products;aral sea;physical infrastructure;transportation sector;regional data;water resource;information exchange;meteorological data;Disaster Risk;human capacity;bank involvement;financing source;hydrological service;meteorological information;information dissemination;environmental benefit;,Project Documents,,Central Asia - Hydrometeorology Modernization Project,http://documents.worldbank.org/curated/en/690051468012288108/pdf/CAHMP1PID0Concept0Stage.pdf,/projects/documents/2010/09/12757745/central-asia-hydrometeorology-modernization-project,http://documents.worldbank.org/curated/en/690051468012288108/Central-Asia-Hydrometeorology-Modernization-Project,690051468012288108,http://documents.worldbank.org/curated/en/690051468012288108/Central-Asia-Hydrometeorology-Modernization-Project,D12757745,5,2010/09/12757745/central-asia-hydrometeorology-modernization-project,,,,,,,,,,,,,,Flood protection,,,,,,,,,,,,
32880137,"Rogers,David P.","Tsirkunov,Vladimir V.",,,Multi-Regional,Open Data : A Path to Climate Resilience and Economic Development in South Asia?,Brief,English,090224b08835ab40_1_0,"ICT Legal and Regulatory Framework,ICT Policy and Strategies,Natural Disasters,Climate Change Impacts,Information Technology,Adaptation to Climate Change,Disaster Management,Hazard Risk Management,Social Risk Management",2021-03-03T00:00:00Z,Open Data; early warning system; open data policy; access to communication technology; disaster and climate risk management; climate resilience; social and economic development; IS Building; impact of climate change; legal and regulatory framework; disaster risk management; efficient use of resource; government data; meteorological data; public sector body; meteorological service; application programming interface; internet of things; government and business; Disaster Management; public sector information,Publications & Research,,Open Data : A Path to Climate Resilience and Economic Development in South Asia?,http://documents.worldbank.org/curated/en/342901614809536537/pdf/Open-Data-A-Path-to-Climate-Resilience-and-Economic-Development-in-South-Asia.pdf,/research/2021/03/32880137/open-data-path-climate-resilience-economic-development-south-asia,http://documents.worldbank.org/curated/en/342901614809536537/Open-Data-A-Path-to-Climate-Resilience-and-Economic-Development-in-South-Asia,342901614809536537,http://documents.worldbank.org/curated/en/342901614809536537/Open-Data-A-Path-to-Climate-Resilience-and-Economic-Development-in-South-Asia,D32880137,14,,,,,,,,,,,,,,,"Public Administration - Water, Sanitation and Waste Management,Renewable Energy Hydro,Agricultural Extension, Research, and Other Support Activities,Other Public Administration,Aviation","Water resource management,Pollution management and environmental health,Climate change,Social Protection and Labor Policy & Systems,Natural disaster management","Social protection and risk management,Environment and natural resource management",,,,Public and Private Engagement in Hydromet Services,,,,,,
30801399,"Belle,Arati",,,,"Bangladesh,South Asia",Disclosable Restructuring Paper - Bangladesh Weather and Climate Services Regional Project - P150220,Project Paper,English,090224b0868ffeca_1_0,"Climate Change Impacts,Climate Change and Agriculture,Agricultural Extension,Natural Disasters,Hydrology,Food Security,Crops and Crop Management Systems",2019-02-01T00:00:00Z,early warning system; disaster risk management; procurement of equipment; display board; weather services; systems integrators; expenditure allocation; delivery to locations; ground water; Hydrology; economic relation; approval process; site identification; evaluation process; contract management; hydrogen gas; climate information; Agriculture; Agromet; farmer,"Project Documents,Project Documents","The development objectives of Weather and Climate Services Regional Project for Bangladesh is to strengthen government of Bangladesh’s capacity to deliver reliable weather, water and climate information services and improve access to such services by priority sectors and communities. This restructuring requires the reallocation of funds between disbursement categories. The Department of Agricultural Extension (DAE) has established agromet committees at the Upazila, District and National levels, which are now functioning and identified 30,000 lead farmers for the dissemination of climate and weather services. Deployment of tablets, display boards and other dissemination material is underway. The Bangladesh Water Development Board (BWDB) and the Bangladesh Meteorological Department (BMD) are advancing the procurement of equipment and systems to improve their capacity for observation, forecasting, analysis and communication. BMD and BWDB are in advanced stages of procuring their main technical assistance consultancies i.e. systems integrators and in the process of procuring major goods packages including hydrological and morphological systems, hydrogen gas generators etc. Sustained efforts are still needed by both these agencies to counter challenges related to contract management, management of evaluation processes, site identification, completion of Memoranda of Understanding (MOUs) and other approvals processes to ensure that the critical procurement packages are completed in the planned timeframe.",Disclosable Restructuring Paper - Bangladesh Weather and Climate Services Regional Project - P150220,http://documents.worldbank.org/curated/en/820021548987840416/pdf/Disclosable-Restructuring-Paper-Bangladesh-Weather-and-Climate-Services-Regional-Project-P150220.pdf,/projects/documents/2019/02/30801399/disclosable-restructuring-paper-bangladesh-weather-climate-services-regional-project-p150220,http://documents.worldbank.org/curated/en/820021548987840416/Disclosable-Restructuring-Paper-Bangladesh-Weather-and-Climate-Services-Regional-Project-P150220,820021548987840416,http://documents.worldbank.org/curated/en/820021548987840416/Disclosable-Restructuring-Paper-Bangladesh-Weather-and-Climate-Services-Regional-Project-P150220,D30801399,4,2019/02/30801399/,,,,,,,,,,,,,,"Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management,Other Agriculture, Fishing and Forestry,Public Administration - Agriculture, Fishing & Forestry","Natural disaster management,Water resource management","Social protection and risk management,Environment and natural resource management",World,South Asia,Asia,,,,,,,
30369894,"Khan,Haris",,,,Nepal,Disclosable Version of the ISR - Building Resilience to Climate Related Hazards - P127508 - Sequence No : 11,Implementation Status and Results Report,English,090224b085fcf681_1_0,"Energy and Mining,Energy and Environment,Energy Demand,Natural Disasters,Hydrology,ICT Economics,Climate Change and Agriculture,Food Security",2018-08-24T00:00:00Z,agricultural management information system; weather forecast; baseline survey; communities at risk; Investment Project Financing; Recipient Executed Activities; hydro station; early warning system; transmission of data; water resource; extension worker; government capacity; standard for method; increased accuracy; climate resilience; financial sustainability; contract amount; verification system; business practice; meteorological observation; hydrological observation; real time; hydrological warning; impact event; vulnerable communities; terminal evaluation; research station; extension service; government staff; production risk; flood forecast; Disaster Management; land management; farmer,"Project Documents,Project Documents",,Disclosable Version of the ISR - Building Resilience to Climate Related Hazards - P127508 - Sequence No : 11,http://documents.worldbank.org/curated/en/987601535122697122/pdf/Disclosable-Version-of-the-ISR-Building-Resilience-to-Climate-Related-Hazards-P127508-Sequence-No-11.pdf,/projects/documents/2018/08/30369894/disclosable-version-isr-building-resilience-climate-related-hazards-p127508-sequence-no-11,http://documents.worldbank.org/curated/en/987601535122697122/Disclosable-Version-of-the-ISR-Building-Resilience-to-Climate-Related-Hazards-P127508-Sequence-No-11,987601535122697122,http://documents.worldbank.org/curated/en/987601535122697122/Disclosable-Version-of-the-ISR-Building-Resilience-to-Climate-Related-Hazards-P127508-Sequence-No-11,D30369894,8,2018/08/30369894/disclosable-version-isr-building-resilience-climate-related-hazards-p127508-sequence-no-11,,,,,,,,,,,,,,"Public Administration - Water, Sanitation and Waste Management,Gen wat/san/fld sect,Gen agr/fish/for sec,Other Water Supply, Sanitation and Waste Management,Other Agriculture, Fishing and Forestry,Public Administration - Agriculture, Fishing & Forestry","Social protection and risk management,Water resource management,Climate change,Natural disaster management,Environment and natural resource management","Social protection and risk management,Environment and natural resource management",,,,,,,,,,
27043877,"Pillai,Poonam",,,,Nepal,Nepal - Building Resilience to Climate Related Hazards : P127508 - Implementation Status Results Report : Sequence 08,Implementation Status and Results Report,English,090224b0847f0a39_1_0,"Hazard Risk Management,Hydrology,Disaster Management,Food Security,Natural Disasters,Social Risk Management",2016-12-21T00:00:00Z,agricultural management information system;transmission of data;early warning system;Recipient Executed Activities;evaluation of bid;communities at risk;government capacity;flood forecast;production risk;verification system;telephone service;multiple channels;vulnerable communities;extension service;impact event;hydrological observation;meteorological observation;climate resilience;business practice;Disaster Management;water resource;investment loan;financial sustainability;increased accuracy;building construction;fuel supply;trade embargo;standard for method;weather forecast;hydrological warning;,"Project Documents,Project Documents",,Nepal - Building Resilience to Climate Related Hazards : P127508 - Implementation Status Results Report : Sequence 08,http://documents.worldbank.org/curated/en/625661482346386012/pdf/ISR-Disclosable-P127508-12-21-2016-1482346360387.pdf,/projects/documents/2016/12/27043877/nepal-building-resilience-climate-related-hazards-p127508-implementation-status-results-report-sequence-08,http://documents.worldbank.org/curated/en/625661482346386012/Nepal-Building-Resilience-to-Climate-Related-Hazards-P127508-Implementation-Status-Results-Report-Sequence-08,625661482346386012,http://documents.worldbank.org/curated/en/625661482346386012/Nepal-Building-Resilience-to-Climate-Related-Hazards-P127508-Implementation-Status-Results-Report-Sequence-08,D27043877,12,2016/12/27043877/nepal-building-resilience-climate-related-hazards-p127508-implementation-status-results-report-sequence-08,,,,,,,,,,,,,,"Public Administration - Water, Sanitation and Waste Management,Gen wat/san/fld sect,Gen agr/fish/for sec,Other Water Supply, Sanitation and Waste Management,Other Agriculture, Fishing and Forestry,Public Administration - Agriculture, Fishing & Forestry","Social protection and risk management,Water resource management,Climate change,Natural disaster management,Environment and natural resource management","Social protection and risk management,Environment and natural resource management",,,,,,,,,,
24015588,0000A8056,,,,South Asia,Project Information Document (Concept Stage) - Bangladesh Regional Weather and Climate Services Project - P150220,Project Information Document,English,090224b082add6c3_1_0,"Climate Change Impacts,Hazard Risk Management,Disaster Management,Social Risk Management,Natural Disasters,Hydrology",2015-02-06T00:00:00Z,early warning system;regional cooperation;weather forecast;bank's country assistance;disaster risk management;natural disaster;general public administration sector;agricultural management information system;per capita food consumption;flood forecast;capacity strengthening;tropical cyclone;climate information;numerical weather prediction;extreme weather event;sea level rise;Water Resource Management;water related hazards;climate resilience;meteorological information;management of risk;decision support tool;national service delivery;flood risk management;management of water;decision support system;Disaster Risk Reduction;severe weather warnings;economies of scale;improvement in literacy;Water and Agriculture;natural disaster management;climate change adaptation;human resource capacity;weather services;storm surge;real time;disaster preparedness;national capacity;flash flood;community base;meteorological observation;regional collaboration;upper air;climate monitoring;extreme event;farm level;monsoon season;agricultural information;regional weather;climate variability;meteorological data;community level;agricultural productivity;meteorological service;observation network;farmer;disaster resilience;hydrological forecast;coastal flood;hydrological observation;rain gauge;regional consultations;Climate Portal;financing source;regional drought;meteorology department;meteorological institution;mobile application;mitigation actions;data center;emergency response;flood warning;modern equipment;high performance;river flow;risk assessment;routing information;flood prediction;Man-Made Event;equipment repair;knowledge center;river morphology;regional fund;Support for Agriculture;institutional strengthening;risk map;vulnerable communities;groundwater monitoring;hydrological station;marine meteorology;information service;telecommunication system;environmental specialist;database management;national border;seasonal forecasts;doppler radar;monitoring network;ground monitoring;cropping pattern;regional benefits;national system;long range;regional dialogue;participating country;Climate Risk;small rivers;urban catchments;remote area;staple food;economic sector;secondary information;affected communities;high tide;storage capacity;hydrological network;tropical meteorology;local climate;agricultural sector;seasonal forecasting;regional data;mangrove forest;knowledge exchange;information products;affected country;critical infrastructure;economic reform;natural hazard;rainfall data;national measures;common problems;extreme poverty;water availability;pilot activities;productive sector;monsoon system;life expectancy;social indicator;Rural Poor;national economy;vulnerable countries;operational decisions;domestic consumption;Management Systems;economic relation;public domain;hydrometeorological service;level of collaboration;project intervention;hydrological information;critical habitat;regional capacity;eligibility criterion;,"Project Documents,Project Documents",,Project Information Document (Concept Stage) - Bangladesh Regional Weather and Climate Services Project - P150220,http://documents.worldbank.org/curated/en/118291468298141575/pdf/PID-Print-P150220-02-18-2015-1424259576240.pdf,/projects/documents/2015/02/24015588/project-information-document-concept-stage-bangladesh-regional-weather-climate-services-project-p150220,http://documents.worldbank.org/curated/en/118291468298141575/Project-Information-Document-Concept-Stage-Bangladesh-Regional-Weather-and-Climate-Services-Project-P150220,118291468298141575,http://documents.worldbank.org/curated/en/118291468298141575/Project-Information-Document-Concept-Stage-Bangladesh-Regional-Weather-and-Climate-Services-Project-P150220,D24015588,11,2015/02/24015588/project-information-document-concept-stage-bangladesh-regional-weather-climate-services-project-p150220,,,,,,,,,,,,,,,,,,,,,,,,,,
27525957,,,,,Burkina Faso,Environmental and social management framework,Environmental Assessment,English,090224b084c1428d_1_0,"Global Environment,Nutrition,Food Security,Climate Change Mitigation and Green House Gases,Natural Disasters,Social Development & Poverty",2017-05-01T00:00:00Z,environment and sustainable development; Environmental and Social Safeguard; environmental and social management; Environmental and Social Monitor; Environmental and Social Impact; Food Security and Nutrition; preservation of cultural property; strategy for environmental protection; Adaptation to Climate Change; small and medium enterprise; environmental and social assessments; public consultation; rehabilitation of buildings; institutional capacity building; provision of service; social and environmental; destruction of vegetation; specific capacity; choice of site; access to information; early warning system; implementation of mitigation; hiv / aids; conflict resolution mechanism; law and regulation; response to emergency; safety of worker; number of workers; grievance redress mechanism; improved service delivery; Grievance Redress Service; response to disaster; settlement of dispute; channels of communication; socio economic impact; capacity building need; integrate water resource; disaster risk management; sexually transmissible infection; gross domestic product; construction of building; Construction Building; african animal trypanosomiasis; peri urban area; International Trade; loss of vegetation; world health organization; extreme climatic conditions; social measures; living condition; social screening; mitigation measure; social issue; civil engineering; legal framework; internal monitoring; Climate Risk; elected representative; safeguard measure; positive impact; vulnerable people; business opportunity; building site; chemical waste; local population; construction site; environmental safeguard; climate information; project intervention; saharan africa; construction company; political framework; operational implementation; distribution channel; methodological approach; social clause; budget request; consumer goods; urban flood; Boosting Growth; contingency plan; extreme event; observation station; Disaster Management; National Institutions; external monitoring; human capital; religious authorities; rural area; food safety; protective equipment; communal area; construction material; hydrometeorological service; social requirement; emergency response; building material; physical infrastructure; local resident; dangerous material; regional priority; qualified personnel; prevention strategies; site visits; national preparedness; social provision; participatory approach; site development; potential users; Environmental Policy; data storage; hydrological model; collected information; Environmental Assessment; building construction; rural land; agricultural census; environmental degradation; arable land; locust invasions; rural community; broad consultation; river level; knowledge development; vulnerable population; government fund; technical inspection; surrounding community; social value; agricultural area; local economy; natural disaster; civil works; public health; gender consideration; vegetation cover; endemic species; legal affairs; environment preservation; financial community; reproduction capacity; young people; technical committee; high court; retrospective assessment; environmental supervision; traffic frequency; transport program; national regulation; emergency relief; common vision; potential conflicts; social group; cultural context; raise awareness; social communication; settlement procedure; organizational capacity; archaeological vestiges; beneficiary population; national rules; environmental monitoring; institutional framework; applicable regulation; resource persons; natural vegetation; institutional responsibilities; environmental measure; flat rate; surface water; local pollution; safeguard study; immune deficiency; homeland security; conflict management; safeguard policy; construction work; foreign research; climatic change; labor legislation; Safeguard Policies; national assembly; wild fauna; Technical Training; detailed planning; community awareness; agricultural cooperative; environmental screening,Project Documents,"The objective of the Burkina Faso country project, the First Phase of the Africa Hydromet Program, is to strengthen the resilience of Burkina Faso to climate risks and disasters, through the strengthening of national institutions responsible for meteorology, hydrology and alerts. The report includes both an environmental and social impact assessment (ESIA); and an environmental and social management plan (ESMP). Potential negative impacts may include: 1. loss of vegetation on construction sites; 2. accidents and nuisances on construction sites; 3. pollution of surface waters with mercury; 4. increasing of dust emissions during demolition work; 5. degradation of the living environment due to discharge of construction waste; 6. loss of archaeological vestiges in the event of unplanned discoveries; 7. spread of STI / HIV / AIDS with the presence of staff on construction sites. Mitigation measures include: 1. implementation of communication and sensitization campaigns before and during work for local populations and local elected representatives; 2. collection of solid and liquid waste and disposing of it in approved locations; 3. collection of waste containing mercury with appropriate containers and disposing of it in storage places decided by the Government; 4. avoiding earthworks, excavations, and cutting of trees outside the scope of the works; 5. training personnel on handling, storage, and containment of chemical wastes and dangerous materials, including mercury; 6. rehabilitation of the land after work; 7. greening of the sites after work; 8. ensuring the rescue of archaeological remains in the event of discovery in collaboration with the competent services; 9. avoiding choosing the sites with endemic species; 10. building temporary latrines according to environmental safeguard standards or using mobile latrines for workers; 11. watering the works; 12. ensuring that worker wear protective equipment; 13. checking vehicle speed and traffic frequency; 14. ensuring environmental and social monitoring and environmental supervision of sub-projects.",Burkina Faso - Strengthening Climate Resilience Project : environmental assessment : Environmental and social management framework,http://documents.worldbank.org/curated/en/952951496249112723/pdf/115358-EA-Box402910B-PUBLIC-Disclosed-5-31-2017.pdf,/projects/documents/2017/05/27525957/burkina-faso-strengthening-climate-resilience-project-environmental-assessment-environmental-social-management-framework,http://documents.worldbank.org/curated/en/952951496249112723/Environmental-and-social-management-framework,952951496249112723,http://documents.worldbank.org/curated/en/952951496249112723/Environmental-and-social-management-framework,D27525957,118,2017/05/27525957/burkina-faso-strengthening-climate-resilience-project-environmental-assessment-environmental-social-management-framework,,,,,,,,,,,,,,,,,World,Sahel,Sub-Saharan Africa,,,West Africa,,,,
18861231,"Png,Margaret",,,,Russian Federation,Official Documents- Loan Agreement for Loan 8291-RU (Closing Package),Loan Agreement,English,090224b0822209b0_1_0,"Social Policy,Legal Products,Judicial System Reform,National Governance,Government Policies,Public Sector Economics,Natural Disasters,Youth and Governance,Legal Reform,Legislation,Regulatory Regimes,Public Finance Decentralization and Poverty Reduction,Global Environment,Hydrology",2014-01-17T00:00:00Z,Selection Under a Fixed Budget;method of procurement;Selection Based on Consultant;cost of travel;provision of day;observation network;financial management policy;provision of equipment;Financial Management System;service delivery performance;national meteorological service;procedures for procurement;provision of information;hydrological data collection;payment in full;distance learn center;currency of denomination;interest rate basis;delivery of service;upper air;public safety;information products;calibration laboratory;hydrological network;Exchange Rates;billing system;satellite data;staff salary;incremental cost;gas generators;hydrogen generation;remote location;technological modernization;remote sensing;climate information;computing center;national capacity;research potential;regional data;information resource;hydrological forecast;seasonal water;counterpart contribution;modem communication;telecommunication system;audit period;legal entity;amortization schedule;regional training;ict infrastructure;measured parameters;meteorological observation;obsolete equipment;sociological surveys;operational procedure;procurement method;mass media;emergency preparedness;meteorological events;priority region;borrower's procurement;heat balance;mitigation measure;legal entities;global system;bank charge;economic sector;hydro-meteorological network;international research;operational units;train activity;hydrological station;,Project Documents,,Official Documents- Loan Agreement for Loan 8291-RU (Closing Package),http://documents.worldbank.org/curated/en/213621468093285310/pdf/RAD1210122473.pdf,/projects/documents/2014/01/18861231/official-documents--loan-agreement-loan-8291-ru-closing-package,http://documents.worldbank.org/curated/en/213621468093285310/Official-Documents-Loan-Agreement-for-Loan-8291-RU-Closing-Package,213621468093285310,http://documents.worldbank.org/curated/en/213621468093285310/Official-Documents-Loan-Agreement-for-Loan-8291-RU-Closing-Package,D18861231,18,2014/01/18861231/official-documents--loan-agreement-loan-8291-ru-closing-package,,,,,,,,,,,,,,"ICT Services,Pub admin-wss/fld,Gen wat/san/fld sect,Other Information and Communications Technologies,Distance Education/Education Technology,Public Administration - Information and Communications Technologies","Social protection and risk management,Water resource management,Environmental policies and institutions,Climate change,Natural disaster management,Environment and natural resource management","Social protection and risk management,Environment and natural resource management",,,,,,,,,,
32073902,"Albrecht,Martin Benedikt",,,,Bolivia,Disclosable Restructuring Paper - Bolivia Climate Resilience - Integrated Basin Management - P129640,Project Paper,English,090224b08799e28c_1_0,"Adaptation to Climate Change,Climate Change Impacts,Science of Climate Change,Natural Disasters,Climate Change and Environment,Hydrology,Climate Change and Health",2020-05-28T00:00:00Z,economic and financial analysis; river basin management plan; climate change adaptation; capacity for adaptation; irrigation and drainage; irrigation or drainage; flood early warning; climate change impact; early warning system; number of water; development of water; Projects in Execution; flood protection infrastructure; drought monitoring system; supply of materials; spread of virus; Water Resource Management; river basin committee; Solid Waste Management; Indigenous People Plan; meteorological stations; government institution; counterpart funding; monitoring frequency; irrigation system; installed capacity; capacity assessment; climate resilience; water reservoir; social safeguard; environmental safeguard; political situation; irrigation infrastructure; meteorological information; project costing; baseline study; qualitative indicator; monitoring stations; results framework; private entity; procurement process; local economy; resources management; financial loss; Blue Economy; meteorological observation; hydrometeorological service; estimate impact; community data; political leadership; field visits; beneficiary family; work restriction; technical equipment; gender specific; financing requirement; subnational authority; observation station; safeguard action; civil works; involuntary resettlement; community land; Consulting services; active portfolio; data availability; observation network; service agency; irrigation area; weather forecast; natural river; hygiene purposes; watershed management; Natural Resources; national capacity; investment contract; approval process; political instability; global pandemic; travel restriction; local representatives; parliamentary election; several weeks; raw water; available funds; first year; participation mechanism; financing instrument,"Project Documents,Project Documents",,Disclosable Restructuring Paper - Bolivia Climate Resilience - Integrated Basin Management - P129640,http://documents.worldbank.org/curated/en/645901590676550085/pdf/Disclosable-Restructuring-Paper-Bolivia-Climate-Resilience-Integrated-Basin-Management-P129640.pdf,/projects/documents/2020/05/32073902/disclosable-restructuring-paper-bolivia-climate-resilience-integrated-basin-management-p129640,http://documents.worldbank.org/curated/en/645901590676550085/Disclosable-Restructuring-Paper-Bolivia-Climate-Resilience-Integrated-Basin-Management-P129640,645901590676550085,http://documents.worldbank.org/curated/en/645901590676550085/Disclosable-Restructuring-Paper-Bolivia-Climate-Resilience-Integrated-Basin-Management-P129640,D32073902,20,2020/05/32073902/,,,,,,,,,,,,,,,,,,,,,,,,,,
